;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;08/07/2020;;;;;;;;;;;;;;;
;>>> Time:;18:25;;;;;;;;;;;;;;;
;>>> Analyzed user:;OscarHsb;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
34;48573939;Jose 🥚;dcfreak;Vida, Libertad y Propiedad 😎 Mg. en Educación, Docente, Pedagogía Conceptual y Libertaria;http://pbs.twimg.com/profile_images/1236778556845436930/lbdmKioq_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;19/06/2009 2:03;;;True;603;1494;8578;1;9247;False;
35;1,15E+32;NeuroCoachPNL;PortalNeih;Espacio para el NeuroEmpoderamiento Integral Humano. Somos lo que pensamos y nos enfocamos. En Consciencia Activa  conectamos con las habilidades de la Mente.;http://pbs.twimg.com/profile_images/1152995487684943873/PpDMvmaa_normal.jpg;;16/07/2019 2:22;COLOMBIA/VENEZUELA/Chile;;False;41;207;58;0;60;False;
36;352342683;El Brico;Afbrico;#ElProfeDeFút⚽;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"Las opiniones acá expresadas no reflejan las de mis gatos ni las posiciones de las instituciones con las cuales tengo obligaciones contractuales""";http://pbs.twimg.com/profile_images/1179788702048018432/6cVpMBge_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;10/08/2011 13:51;Polombia;;True;25530;25504;26773;25;53700;False;;;;;
37;402979810;Baron Rojo 🏎;betoariza1017;Este año ya no será, 😖😖. Ing Industrial y Mecánico. Bimmer & Flightsimmer;http://pbs.twimg.com/profile_images/1279954370587656193/_MPUwS_j_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;01/11/2011 21:09;Italia;;True;123;396;5358;0;5473;False;
38;87837604;PauPeroNoRubio;pauperonovega;Soy hermosa, inteligente y como si fuera poco buena gente!;http://pbs.twimg.com/profile_images/1222584887108165632/dpPSVJhM_normal.jpg;http://abs.twimg.com/images/themes/theme19/bg.gif;06/11/2009 1:30;Colombia;;True;16265;2293;78126;17;166237;False;
39;1,02E+32;El Republicano®🇨🇴;Elrepublicano9;El que se arrodilla para conseguir la paz, se queda con la humillación y con la guerra. W. Churchill.;http://pbs.twimg.com/profile_images/1277232545659265024/F3jHhaIx_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;18/07/2018 20:43;Bogotá, D.C., Colombia;;False;39198;7773;17326;36;28555;False;
40;236898556;Diego Ricardo Hinestrosa Velez;RoloVaquero;Comunicador Social y Periodista del Externado,experiencia en Periodismo Deportivo y Cultural(deportes llaneros y distintas tradiciones de la Media Colombia).;http://pbs.twimg.com/profile_images/1930811310/Foto0132_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;11/01/2011 16:31;Colombia;;True;2483;4852;9878;5;1798;False;
41;7,08E+31;Carlito's Way;carlopoc7;"""Hace tiempo no trino como hace tiempos y eso que yo trinaba como un jilguero...""";http://pbs.twimg.com/profile_images/1200962789168295936/GDNdFkU4_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;11/03/2016 0:01;Colombia;;False;645;1434;17550;2;4742;False;
42;1360903964;Guillermo Tascón;GTascon10;;http://pbs.twimg.com/profile_images/616084474338611200/50Seulzz_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;18/04/2013 3:12;;;False;18;258;0;0;0;False;
43;2429146661;CLAUDIA B.C.;CLABASCAM;URIBISTA A MUCHO HONOR!!!;http://pbs.twimg.com/profile_images/1225880348606828544/td1wsJhW_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;22/03/2014 16:07;Popayan;;False;1475;4984;13762;0;34926;False;
44;996179556;Luis Gonzalo Morales;luismorales0621;Mi vocación: servir a la gente. Médico con maestrías en Salud Pública y Ciencia Política. Especialista en Administración y Economía, 35 años de servicio.;http://pbs.twimg.com/profile_images/917389645998120960/wzEteri6_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;08/12/2012 1:06;;;False;21305;10388;13703;74;49393;False;
45;1,11E+32;antiuribista;CentroCorriente;pandemia pan de que?;http://pbs.twimg.com/profile_images/1116437635692736512/f-y-6yku_normal.jpg;;16/03/2019 13:46;;;False;1003;2160;436;1;743;False;
46;9,73E+30;CazadorDeZurdos;DeZurdos;hay que verificar sus dicursos con los hechos;http://pbs.twimg.com/profile_images/1019426315722739717/IzIhbF07_normal.jpg;;10/03/2018 18:20;Chile;;False;10230;6201;6883;9;19923;False;
47;1279557092;Juan Pablo Camacho;JuanPCamachoS;Ciudadano;http://pbs.twimg.com/profile_images/1197576688235896832/maRDHldL_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;19/03/2013 4:55;Bogotá;;True;1220;1599;1045;2;335;False;
48;394975806;Carlzanga;cfo1960;#UribistaSigueUribista;;;;;;;;;;;;;
Si bis pacem para bellum;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;
                   ;;;;;;;;;;;;;;;;;
                      ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"Palo a los corruptos y a las farc!""";http://pbs.twimg.com/profile_images/478112093749932034/YhO2xuf0_normal.jpeg;http://abs.twimg.com/images/themes/theme1/bg.png;20/10/2011 22:48;;;False;8861;8830;15740;4;6320;False;;;;;
49;1,07E+32;Katao;Kataodagaz;vikinga,maga,loka,rockera,Feliz.;http://pbs.twimg.com/profile_images/1271359778347003904/g7lhQNJ1_normal.jpg;;27/11/2018 11:51;Medellín, Colombia;;False;221;219;102;0;212;False;
50;139403799;Luis  Soler;iguanaconcoco;Etnoeducador de profesión y músico por pasión, Fundador de la Escuela @elem55 y @GnesisMusical formando músicos integrales, fortaleciendo nuestro Vallenato.;http://pbs.twimg.com/profile_images/1109466904606003200/rcRyZDBQ_normal.jpg;http://abs.twimg.com/images/themes/theme18/bg.gif;02/05/2010 14:09;Fonseca La Guajira ;;False;692;629;458;2;151;False;
