;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;09/07/2020;;;;;;;;;;;;;;;
;>>> Time:;2:52;;;;;;;;;;;;;;;
;>>> Analyzed user:;Oscar_GCh;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
34;981714032;José Miguel;ppaterr1971;Mamao de toda la corrupción en Colombia!!;http://pbs.twimg.com/profile_images/1259866277172166658/2i4pG8Q8_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;01/12/2012 3:07;Barranquilla;;False;431;1023;870;0;2341;False;
35;469399771;Leo;leoacmilan11;Independiente;http://pbs.twimg.com/profile_images/1089010287229972480/lIALKaM6_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;20/01/2012 15:16;;;True;513;1198;4659;1;6275;False;
36;1,19E+32;Luis Fdo Moreno;luisfdomoreno;Psicólogo.;;;;;;;;;;;;;
Esp. En educación; cultura y política ;;;;;;;;;;;;;;;;
"Antiuribista 🇨🇴""";http://pbs.twimg.com/profile_images/1280966955319648263/a-p71myV_normal.jpg;;03/11/2019 2:40;;;False;826;1556;184;0;1251;False;;;;;
37;9,98E+31;David Hernández;otrolaico;Ellos lo tienen todo, nosotros lo que les hace falta. ;;;;;;;;;;;;;
Mi diploma dice que soy Químico;" pero soy mas un Alquemista.""";http://pbs.twimg.com/profile_images/1257119952693342209/kaWuMQRR_normal.jpg;;18/05/2018 23:51;Colombia. ;;False;377;3288;1608;0;4985;False;;;;
38;9,23E+31;Duvis Rosado;DuvisRosado1;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;24/10/2017 18:07;;;False;568;899;63;0;5014;False;
39;1,20E+31;Novoa Luis antiuribista progresista 100x100;NovoaLuis1;mi familia siempre con Dios;http://pbs.twimg.com/profile_images/1197138197974831104/i_5ppF9W_normal.jpg;;20/11/2019 13:01;;;False;356;907;2355;0;2668;False;
40;250668108;Harold Marquez;haroldm77;Profesional de la Salud Ocupacional-Amante de la vida, el amor y la Paz. #SiguemeYTeSigo;;;;;;;;;;;;;
"#SigamonosLosBuenos @ColombiaHumana 🥑🐝#AntiUribista""";http://pbs.twimg.com/profile_images/1247505081534160902/TP2oB-o__normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;11/02/2011 15:20;Bogotá, Colombia;;True;3989;3941;25440;5;2412;False;;;;;
41;225123830;Esteban Dido 🚷;TucanBengala;♥️COLOMBIA 🇨🇴, No podemos cambiar el pasado, pero si podemos unirnos para  modificar el presente y construir un mejor futuro. Fuera #Matarife y corrupción YA!;http://pbs.twimg.com/profile_images/1280487926468575233/jgTWLC8B_normal.jpg;http://abs.twimg.com/images/themes/theme18/bg.gif;10/12/2010 19:08;Francia;;True;2441;2635;1462;2;1123;False;
42;7,97E+31;😴;hans_tapias;;http://pbs.twimg.com/profile_images/1269110490195800064/Ez10nHyE_normal.jpg;;11/11/2016 21:15;Medellín, Colombia;;False;731;842;93;0;1917;False;
43;1056196783;fernando;hufergo3926;estudiante de electrónica y telecomunicaciones;http://pbs.twimg.com/profile_images/501147824634208256/PC8Kx3cm_normal.jpeg;http://abs.twimg.com/images/themes/theme1/bg.png;02/01/2013 21:47;cali colombia;;False;1333;1771;3628;0;5298;False;
44;1,00E+32;Jespi2001;Jespi20011;Ingeniero electrónico, orgulloso por ser del Pacífico, convencido de que los buenos somos más en Colombia.;http://pbs.twimg.com/profile_images/1218330237173424128/CdirYWsX_normal.jpg;;29/05/2018 4:54;;;False;185;280;126;0;45;False;
45;599812994;@maryDory;dorismenesesv1;#AntiUribista;http://pbs.twimg.com/profile_images/1203023077350821888/2Bd2gmYo_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;05/06/2012 4:22;;;False;1974;3020;801;1;711;False;
46;2161694454;MarAngel 🍂🍁🌾;angela_mrb;Familia, libros, viajar, películas, buena música, vino, gatos y plantas 😍🍃🌿🌱;http://pbs.twimg.com/profile_images/1280261769710186504/Bv9EaL6H_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;28/10/2013 22:20;Medellín, Colombia;;False;192;350;199;0;123;False;
47;1,01E+32;Milton Escalante;MiltonEscalant9;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;04/07/2018 1:42;;;False;459;671;74;0;77;False;
48;217921085;RIGOBERTO GONZÁLEZ;RGonzalezM08;Economista;http://pbs.twimg.com/profile_images/1203714616993484800/U4I0qWBw_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;20/11/2010 22:35;;;False;1930;3010;1313;1;2410;False;
49;1,20E+32;Erick giraldo;giraldo_ma1;Estudiante de Derecho, Universidad Luis Amigó Medellín. #Antiuribista #Antifajardismo;http://pbs.twimg.com/profile_images/1279783084523761664/h7TslaiS_normal.jpg;;23/11/2019 3:02;Medellín, Colombia;;True;307;525;1208;0;4550;False;
50;124220222;Alejandro Sánchez;alejoxg;Ingeniero Industrial Colombiano #AntiUribista.;http://pbs.twimg.com/profile_images/1234119509054828544/n9NqSpZV_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;18/03/2010 17:17;Bogotá;;False;939;1787;3930;1;2570;False;
